datetime,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,BestModel: PPFD_Avg
2016-07-12 10:30:00,-1.1348892,-1.7730576,-1.344012,-1.6138933,-1.1536016,-1.7173156,-1.8256305
2016-07-12 11:00:00,-1.8566265,-2.5721605,-1.3536857,-1.6138933,-2.1065745,-2.516768,-2.587146
2016-07-12 11:30:00,-2.039629,-2.7828715,-1.3634939,-1.6138933,-2.374089,-2.6980727,-2.7737036
2016-07-12 12:00:00,-3.1381285,-3.5640032,-1.3790288,-1.6138933,-3.6266775,-3.5129848,-3.4722707
2016-07-12 12:30:00,-3.0438821,-3.5320444,-1.4076229,-1.6138933,-3.5534534,-3.470648,-3.438625
2016-07-12 13:00:00,-3.1484804,-3.611217,-1.4603354,-1.6138933,-3.6649752,-3.5734928,-3.5219765
2016-07-12 13:30:00,-3.817322,-4.234542,-1.5219711,-1.6138954,-4.2207556,-4.1220436,-4.1782
2016-07-12 14:00:00,-5.195289,-5.7831445,-1.671717,-1.6139473,-5.505251,-5.561599,-5.7936606
2016-07-12 14:30:00,-4.303327,-4.8296485,-1.6695694,-1.6141249,-4.722129,-4.659834,-4.799839
2016-07-12 15:00:00,-3.6244566,-4.0200343,-1.6024557,-1.6138933,-4.072384,-3.9431355,-3.9523704
2016-07-12 15:30:00,-4.0892463,-4.5842137,-1.6529253,-1.6138933,-4.5217075,-4.4400535,-4.5429277
2016-07-12 16:00:00,-4.397405,-4.942727,-1.7535738,-1.6138933,-4.8307047,-4.7642303,-4.918461
2016-07-12 16:30:00,-5.3226395,-5.929558,-1.828394,-1.6138933,-5.6577477,-5.6928678,-5.9464865
2016-07-12 17:00:00,-5.002552,-5.6106215,-1.9374592,-1.6138966,-5.4282303,-5.4077597,-5.613581
2016-07-12 17:30:00,-5.074428,-5.6843143,-1.9334626,-1.6138948,-5.4873776,-5.473486,-5.690501
2016-07-12 18:00:00,-5.4816494,-6.121009,-2.0947628,-1.6140419,-5.8932347,-5.864345,-6.146323
2016-07-12 18:30:00,-4.9221926,-5.5219445,-2.1718748,-1.6138933,-5.4186106,-5.325037,-5.5213113
2016-07-12 19:00:00,-3.8409648,-4.2875504,-2.025594,-1.6138933,-4.394207,-4.1736717,-4.2340064
2016-07-12 19:30:00,-3.5457206,-4.023017,-2.0419254,-1.6138933,-4.185575,-3.9455762,-3.9555106
2016-07-12 20:00:00,-4.080196,-4.559158,-2.2451487,-1.6139661,-4.670551,-4.418364,-4.517252
2016-07-12 20:30:00,-3.6318293,-4.116081,-2.1898477,-1.6139544,-4.3007393,-4.018159,-4.0534863
2016-07-12 21:00:00,-3.1220427,-3.6885147,-2.1413565,-1.6140926,-3.6418734,-3.66189,-3.6033537
2016-07-12 21:30:00,-2.624063,-3.3791218,-2.0904398,-1.6972831,-3.051502,-3.2316206,-3.2864015
2016-07-12 22:00:00,-1.8115938,-2.7058413,-1.9359605,-1.726547,-2.2100458,-2.431206,-2.7086306
2016-07-12 22:30:00,-1.0225887,-1.7413244,-1.8372887,-1.6967635,-1.1713808,-1.4353602,-1.7960292
2016-07-12 23:00:00,0.7958311,0.18453133,-1.5770464,-1.7378495,0.6874231,0.5350417,0.16040444
2016-07-12 23:30:00,1.1854826,0.5576955,-1.5038424,-1.7578682,1.0122014,0.9124855,0.53999555
2016-07-13 00:00:00,1.8693162,1.3602508,-1.4514512,-1.755693,1.6961738,1.5889405,1.3563737
2016-07-13 00:30:00,1.7836725,1.4028064,-1.4544126,-1.707604,1.7319316,1.5135504,1.3996624
2016-07-13 01:00:00,1.8034128,1.7123309,-1.442238,-1.6235685,1.9952682,1.5351421,1.7162565
2016-07-13 01:30:00,1.9160572,1.8663718,-1.405576,-1.6179886,2.1300015,1.6523281,1.8738993
2016-07-13 02:00:00,1.9885777,1.9708432,-1.4156865,-1.614446,2.2165458,1.7325796,1.9808136
2016-07-13 02:30:00,2.2494113,1.9947973,-1.4639549,-1.7035778,2.230759,1.9905077,2.005328
2016-07-13 03:00:00,2.0789094,1.9764429,-1.4159961,-1.6435264,2.221227,1.83013,1.9865445
2016-07-13 03:30:00,2.7516534,1.9902154,-1.4805604,-2.121502,2.2248604,2.3123515,2.0006385
2016-07-13 04:00:00,2.7323787,1.9651088,-1.606214,-2.2399135,2.1889458,2.208883,1.9749457
2016-07-13 04:30:00,2.3667772,1.9054915,-1.5539572,-1.8115433,2.1448371,2.0688474,1.9139341
2016-07-13 05:00:00,2.0990002,1.776584,-1.5761174,-1.7318726,2.0333116,1.8746074,1.7820121
2016-07-13 05:30:00,2.4673722,1.62474,-1.5580295,-2.1299648,1.9074246,2.0414388,1.6266178
2016-07-13 06:00:00,2.3086488,1.3905128,-1.5603405,-2.1637266,1.710101,1.8556861,1.3871568
2016-07-13 06:30:00,1.7323586,0.7645291,-1.7200389,-2.1043189,1.1739997,1.3671123,0.7503911
2016-07-13 07:00:00,1.1698338,0.114011176,-1.8294405,-2.2466712,0.6253108,0.7281562,0.08866931
2016-07-13 07:30:00,-0.422845,-0.6233561,-1.8924973,-2.4548159,-0.07166385,-0.26571083,-0.66696227
2016-07-13 08:00:00,-2.7629006,-3.049181,-2.1432264,-2.4974859,-2.4974253,-2.3523989,-2.999434
2016-07-13 08:30:00,-3.8078685,-3.7538812,-2.1515977,-2.437704,-3.7608957,-3.5150743,-3.6721702
2016-07-13 09:00:00,-4.690032,-4.1543465,-2.4227347,-2.5103588,-4.3513937,-4.300361,-4.0937715
2016-07-13 09:30:00,-4.2738256,-3.943844,-2.6336436,-2.5119255,-3.9828446,-3.9224176,-3.8721595
2016-07-13 10:00:00,-5.339686,-4.5900087,-2.9417584,-2.511651,-4.865303,-5.1618457,-4.5488667
2016-07-13 10:30:00,-5.828407,-4.939611,-3.180011,-2.4942908,-5.228973,-5.819875,-4.915192
2016-07-13 11:00:00,-6.430796,-5.406471,-3.3096852,-2.4769306,-5.7020936,-6.45651,-5.4024625
2016-07-13 11:30:00,-7.0204945,-5.8067865,-3.479328,-2.4973369,-6.1075444,-6.9686937,-5.818338
