datetime,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: PPFD_Avg+Sedge,Model: AirTC_Avg+Sedge,BestModel: PPFD_Avg+Sedge
2016-07-13 14:00:00,20.674805,13.845959,14.237029,15.694305,22.661703,18.01799,22.018456
2016-07-13 14:30:00,21.778885,14.382279,14.668498,16.506477,24.022951,19.021053,23.290747
2016-07-13 15:00:00,21.780378,14.429256,15.154317,16.000273,23.521313,18.934654,22.824608
2016-07-13 15:30:00,22.263233,14.161096,15.574697,16.40799,23.711788,19.58049,23.002596
2016-07-13 16:00:00,22.523802,14.037781,16.00173,16.417427,23.606401,19.874323,22.906317
2016-07-13 16:30:00,22.52075,13.556267,16.323391,16.36453,23.099922,20.04195,22.440594
2016-07-13 17:00:00,22.565884,13.01016,16.51417,16.545004,22.77997,20.330969,22.152962
2016-07-13 17:30:00,21.014334,12.419033,16.926785,14.301625,19.852894,18.461744,19.401905
2016-07-13 18:00:00,16.780895,11.6869755,17.19188,8.539597,12.707224,13.697392,13.009962
2016-07-13 18:30:00,14.191678,10.913813,17.070976,6.9037685,8.643565,10.984862,9.084668
2016-07-13 19:00:00,12.218687,9.351829,17.003317,6.18685,5.694812,9.583415,6.5499377
2016-07-13 19:30:00,11.561508,8.37275,17.529408,6.280882,5.148374,10.173381,5.941765
2016-07-13 20:00:00,9.84373,7.078926,17.5694,6.0588937,4.763781,9.578709,5.668752
2016-07-13 20:30:00,9.234608,6.6175733,17.210733,6.0588937,5.014158,9.3384695,5.849282
2016-07-13 21:00:00,7.6941814,6.2630043,16.290115,6.0588937,5.6745706,8.721135,6.188635
2016-07-13 21:30:00,8.030295,6.0086017,15.945161,6.0588937,5.3891387,8.489821,6.1196547
2016-07-13 22:00:00,6.138697,7.004964,15.561386,6.0588937,6.2673473,8.232475,5.5444746
2016-07-13 22:30:00,4.6241846,6.976481,14.266975,6.0588937,6.303376,7.3644896,5.292115
2016-07-13 23:00:00,4.140425,7.021591,13.186637,6.058894,6.365143,6.6400547,5.1555257
2016-07-13 23:30:00,4.3767495,7.0179214,12.370282,6.19248,6.3208876,6.493564,5.1418314
2016-07-14 00:00:00,4.492295,7.059053,12.1806135,6.2650733,6.323395,6.5515094,5.0668406
2016-07-14 00:30:00,4.8237586,7.1571946,11.567238,6.439583,6.330385,6.5308514,4.903513
2016-07-14 01:00:00,4.9656196,7.2050405,10.878439,6.7071385,6.30108,6.5812354,4.8044863
2016-07-14 01:30:00,5.126527,7.224377,10.283919,7.1086082,6.2582083,6.694841,4.746065
2016-07-14 02:00:00,5.26809,7.235373,9.993315,7.000371,6.276128,7.012241,4.81091
2016-07-14 02:30:00,5.4211364,7.2373877,9.870196,6.890674,6.372654,7.441951,5.0881834
2016-07-14 03:00:00,5.614595,7.2368164,9.668325,7.5066304,6.563266,7.818852,5.370496
2016-07-14 03:30:00,5.809,7.2293243,9.537443,8.141481,6.798974,8.243356,5.666814
2016-07-14 04:00:00,6.0154004,7.2184086,9.728222,8.776333,7.035547,8.883554,6.038448
2016-07-14 04:30:00,6.689575,7.1929145,9.13703,9.411184,7.2758026,8.994467,6.4603615
2016-07-14 05:00:00,7.360079,7.148715,8.77322,10.046036,7.520785,9.275756,6.936045
2016-07-14 05:30:00,7.5615253,7.1301055,9.259039,10.680887,7.7593017,10.166352,7.3381715
2016-07-14 06:00:00,7.744659,7.1056085,9.992206,11.315738,7.999306,11.234332,7.8181896
2016-07-14 06:30:00,8.03341,7.0682087,10.775285,11.950589,8.3023205,12.338106,8.786881
2016-07-14 07:00:00,8.857097,6.967732,11.508451,12.58544,10.207112,13.406087,10.110519
2016-07-14 07:30:00,10.123081,6.9973927,11.639335,13.220291,12.05571,14.042142,11.477363
2016-07-14 08:00:00,11.212124,6.545938,11.82013,13.855143,13.21272,14.713991,12.579603
2016-07-14 08:30:00,13.075106,6.1133537,12.106298,14.489994,14.672336,15.46141,14.1844635
2016-07-14 09:00:00,14.30652,6.70448,12.399121,15.124845,15.798162,16.213598,15.326345
2016-07-14 09:30:00,15.452046,7.315964,12.622066,15.612966,16.769863,16.79036,16.33889
2016-07-14 10:00:00,17.41401,8.577492,13.060191,16.101084,18.220018,17.521435,17.908718
2016-07-14 10:30:00,18.21867,9.334016,13.542683,15.911705,18.670408,17.705713,18.367834
2016-07-14 11:00:00,19.28233,10.418597,14.069542,15.841345,19.61068,18.023457,19.22726
2016-07-14 11:30:00,19.979033,11.391412,14.492139,15.848442,20.528353,18.332582,20.06836
2016-07-14 12:00:00,20.970222,12.305506,15.006798,16.208324,21.764416,19.009022,21.212044
2016-07-14 12:30:00,21.305742,13.141304,15.54253,15.675911,21.982967,18.9038,21.395952
2016-07-14 13:00:00,21.74949,13.477972,16.185854,15.46819,22.078135,19.125843,21.476774
2016-07-14 13:30:00,19.769476,13.613031,16.434309,12.381629,18.719847,16.328957,18.504757
2016-07-14 14:00:00,17.723377,13.4172945,16.777044,9.295067,15.037744,14.02882,15.249147
2016-07-14 14:30:00,16.010136,14.076929,16.520826,7.012829,12.225724,11.366425,12.726852
2016-07-14 15:00:00,14.443394,13.264619,16.153687,6.0588937,8.554759,8.629652,9.3365755
2016-07-14 15:30:00,14.536514,13.573883,15.938507,6.0588937,8.817148,8.485359,9.575971
2016-07-14 16:00:00,14.872539,13.894892,16.155905,6.0588937,9.089501,8.631139,9.824456
2016-07-14 16:30:00,14.805772,13.507334,16.517496,6.0588937,8.760685,8.87361,9.524455
2016-07-14 17:00:00,14.85884,13.223514,16.970043,6.0588937,8.519885,9.17707,9.304757
2016-07-14 17:30:00,13.936032,11.867054,16.966715,6.0588937,7.3690267,9.174839,8.254753
2016-07-14 18:00:00,13.32558,11.1800165,16.70162,6.0588937,6.786124,8.997075,7.7229333
2016-07-14 18:30:00,12.090534,9.837453,16.105991,6.0588937,5.647057,8.597669,6.6836863
2016-07-14 19:00:00,10.969697,9.61118,14.324653,6.0591373,5.4559565,7.4038973,6.508995
