datetime,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,BestModel: PPFD_Avg
2016-07-14 05:30:00,1.3611172,1.0974065,-2.405,-2.506809,1.3868653,1.2682928,1.0644568
2016-07-14 06:00:00,1.1778721,0.9204687,-2.6359646,-2.4316168,1.2741181,1.0995723,0.8662268
2016-07-14 06:30:00,0.89633954,0.63539445,-2.882653,-2.3564248,0.97286093,0.81160176,0.5582341
2016-07-14 07:00:00,-0.36199045,-0.6209214,-3.113618,-2.2812326,-0.3020053,-0.53507245,-0.79260623
2016-07-14 07:30:00,-2.0833366,-2.3435824,-3.1548493,-2.2060406,-1.9163691,-2.3639581,-2.420515
2016-07-14 08:00:00,-3.0041332,-3.1572037,-3.2118042,-2.1308486,-2.755278,-3.1366103,-3.1149464
2016-07-14 08:30:00,-4.0036464,-4.015789,-3.3019536,-2.0556564,-3.767997,-3.9576974,-3.7755008
2016-07-14 09:00:00,-4.4719048,-4.3055377,-3.3942,-1.9804645,-4.1664414,-4.378671,-4.0375247
2016-07-14 09:30:00,-4.9505763,-4.5998044,-3.4644327,-1.9226512,-4.552993,-4.84416,-4.3053684
2016-07-14 10:00:00,-5.8653965,-5.0134063,-3.6024525,-1.8648381,-5.123069,-5.5152287,-4.7956247
2016-07-14 10:30:00,-6.2709966,-5.2614393,-3.744132,-1.8872683,-5.365411,-5.746972,-5.074195
2016-07-14 11:00:00,-6.5710955,-5.5906005,-3.892787,-1.8956019,-5.710772,-6.08707,-5.473563
2016-07-14 11:30:00,-6.7899375,-5.833544,-4.00056,-1.8947612,-5.9644704,-6.3955946,-5.8317766
2016-07-14 12:00:00,-7.052688,-6.061034,-4.1311707,-1.8521366,-6.193079,-6.6850657,-6.1683674
2016-07-14 12:30:00,-7.15714,-6.269038,-4.2671304,-1.9151958,-6.4023643,-6.86915,-6.4761286
2016-07-14 13:00:00,-7.2088366,-6.352825,-4.4303946,-1.9397982,-6.48836,-6.9433594,-6.6000977
2016-07-14 13:30:00,-6.971144,-6.386437,-4.4934487,-2.305372,-6.5228195,-6.8157873,-6.64983
2016-07-14 14:00:00,-6.4746833,-6.3377237,-4.5804296,-2.670946,-6.4756603,-6.6046104,-6.5777545
2016-07-14 14:30:00,-6.1556315,-6.5018864,-4.5154047,-2.4781225,-6.638146,-6.609623,-6.8206477
2016-07-14 15:00:00,-5.457467,-6.2997274,-4.4222317,-1.6133747,-6.435349,-6.2426095,-6.5215354
2016-07-14 15:30:00,-5.5458174,-6.376694,-4.367623,-1.6133747,-6.5111537,-6.320775,-6.635414
2016-07-14 16:00:00,-5.6145372,-6.456584,-4.422795,-1.6133747,-6.5915804,-6.4019084,-6.7536173
2016-07-14 16:30:00,-5.4990263,-6.360132,-4.5145607,-1.6133747,-6.4969506,-6.3039546,-6.610909
2016-07-14 17:00:00,-5.4046435,-6.289498,-4.6294084,-1.6133748,-6.428393,-6.232221,-6.5063996
2016-07-14 17:30:00,-5.0553427,-5.9519167,-4.628564,-1.6133747,-6.0921617,-5.8893847,-6.006919
2016-07-14 18:00:00,-4.881943,-5.7809334,-4.561288,-1.6133747,-5.92082,-5.698874,-5.753936
2016-07-14 18:30:00,-4.5459933,-5.423991,-4.4101276,-1.6133747,-5.5239334,-5.27357,-5.259572
2016-07-14 19:00:00,-4.610674,-5.3523097,-3.9580543,-1.6135262,-5.4602094,-5.2019353,-5.1762533
2016-07-14 19:30:00,-4.5477214,-5.207148,-3.721286,-1.6133747,-5.31261,-5.0616317,-5.0132194
2016-07-14 20:00:00,-4.309207,-4.8643947,-3.4819038,-1.6133747,-4.9765534,-4.6431046,-4.628266
2016-07-14 20:30:00,-4.048982,-4.5171885,-3.4022365,-1.6133748,-4.452141,-4.172793,-4.2289233
2016-07-14 21:00:00,-3.4790113,-4.032771,-3.2670121,-1.6133747,-3.8057961,-3.621177,-3.790858
2016-07-14 21:30:00,-2.4040544,-3.2910852,-3.1548493,-1.6133747,-2.9894311,-2.8698857,-3.2502255
2016-07-14 22:00:00,-1.4143065,-2.3287044,-3.0853152,-1.6133747,-1.9117979,-2.075929,-2.4074533
2016-07-14 22:30:00,-0.69933987,-1.3897344,-3.0171788,-1.6133747,-1.0016062,-1.444415,-1.5334728
2016-07-14 23:00:00,0.3193828,-0.07486247,-2.813119,-1.6133747,0.20406973,-0.2241503,-0.2059524
2016-07-14 23:30:00,1.4460031,1.1344789,-2.6478448,-1.6133747,1.4826773,0.9722558,1.1068207
2016-07-15 00:00:00,1.8063821,1.5591012,-2.5639846,-1.6133747,1.8702279,1.420529,1.5834397
2016-07-15 00:30:00,1.809446,1.562791,-2.5632856,-1.6133747,1.873603,1.4244243,1.5875775
2016-07-15 01:00:00,1.9526681,1.7211396,-2.5954323,-1.6134045,2.033839,1.5916013,1.7651516
2016-07-15 01:30:00,2.0788846,1.8409454,-2.714234,-1.6144043,2.1784785,1.7183472,1.8995012
2016-07-15 02:00:00,2.1440303,1.9060854,-2.7603571,-1.6133754,2.252545,1.7868398,1.9725503
2016-07-15 02:30:00,2.192536,1.9632338,-2.7565136,-1.647305,2.3065484,1.8562564,2.036378
2016-07-15 03:00:00,2.1795347,1.9458288,-2.7757316,-1.8524586,2.294572,1.8431708,2.017119
2016-07-15 03:30:00,2.0991614,1.8526949,-2.785515,-2.3355708,2.2074366,1.7789105,1.9126774
2016-07-15 04:00:00,2.0599697,1.8025326,-2.816264,-2.699144,2.1668172,1.7589768,1.8564254
2016-07-15 04:30:00,2.0328803,1.77855,-2.7911057,-2.776269,2.137522,1.7655212,1.8295311
2016-07-15 05:00:00,1.8336014,1.5764073,-2.8092754,-2.6652224,1.9476389,1.59187,1.6028477
2016-07-15 05:30:00,1.6238385,1.3595287,-2.725066,-2.522657,1.7182208,1.4906048,1.3596381
2016-07-15 06:00:00,1.2943856,1.0332321,-2.827445,-2.3800917,1.4088243,1.2384905,0.9911231
2016-07-15 06:30:00,0.77168906,0.48775017,-2.8480608,-2.2375264,0.8098959,0.68222487,0.39899838
2016-07-15 07:00:00,0.13662243,-0.14786541,-2.9022205,-2.2420785,0.14504552,-0.0031660735,-0.28399754
2016-07-15 07:30:00,-0.8418164,-1.131809,-2.9927197,-2.1785686,-0.7791501,-1.0460123,-1.293118
2016-07-15 08:00:00,-1.3281015,-1.6074008,-3.0587595,-2.115059,-1.1855693,-1.5608613,-1.7337868
2016-07-15 08:30:00,-2.5589442,-2.8156016,-3.1642833,-2.0515492,-2.356136,-2.7694767,-2.8043983
2016-07-15 09:00:00,-3.775313,-3.910815,-3.2355645,-1.8905404,-3.6536744,-3.7810996,-3.6928194
2016-07-15 09:30:00,-4.7787704,-4.4990554,-3.3250153,-1.8873645,-4.4505596,-4.649849,-4.212525
2016-07-15 10:00:00,-5.447559,-4.8087554,-3.4644327,-1.829938,-4.907288,-5.2838326,-4.5631137
2016-07-15 10:30:00,-5.575122,-4.858747,-3.5545824,-1.8089001,-4.9700527,-5.3647537,-4.621924
2016-07-15 11:00:00,-6.3343697,-5.3158593,-3.6727777,-1.9018942,-5.415017,-5.7934437,-5.135315
2016-07-15 11:30:00,-6.6999636,-5.666263,-3.8430266,-1.853558,-5.7940087,-6.1998777,-5.5842705
2016-07-15 12:00:00,-6.5549765,-5.5724196,-3.998026,-1.8938718,-5.6953883,-6.067703,-5.4502106
2016-07-15 12:30:00,-6.5982494,-5.6318235,-4.12723,-1.8961488,-5.7623067,-6.138245,-5.5333133
