,Model,MSE,Size,Number,SE,Performance,T,T2
153,wind_speed+PPFD_Avg+VPD+VWC+Sedge+Shrub,0.19797403115411494,6,8,0.04115450443199012,1,1.37359557955408,0.557599204186395
154,wind_speed+PPFD_Avg+VPD+VWC+Sedge+Grass,0.18855798451994335,6,9,0.037667244025015006,1,0.4088497491406641,-0.5542931305260935
155,wind_speed+PPFD_Avg+Temp+VWC+Sedge+Shrub,0.19313164764733898,6,10,0.041020417810485356,1,0.8683686422236888,0.0034445463316909422
156,wind_speed+PPFD_Avg+Temp+VWC+Sedge+Grass,0.1908185790655653,6,11,0.03343502376903729,1,0.7027303753930407,-0.30196495647125776
157,wind_speed+PPFD_Avg+VWC+Sedge+Shrub+Grass,0.1954808202748882,6,12,0.022548524023565962,1,1.4776039020688727,0.39194671552957966
158,wind_speed+PPFD_Avg+VWC+Sedge+Shrub+Upland,0.19233193613112534,6,13,0.03191923254796307,1,0.9019487740375508,-0.10487606349928157
159,wind_speed+PPFD_Avg+VWC+Sedge+Grass+Upland,0.18728393163649956,6,14,0.036848906057163525,1,0.2715974594585808,-0.7207035846022236
160,wind_speed+AirTC_Avg+VPD+VWC+Sedge+Shrub,0.1890355053982401,6,15,0.03532009315947502,1,0.47850873231592056,-0.518562832849407
161,wind_speed+AirTC_Avg+VPD+VWC+Sedge+Grass,0.19355453909493275,6,16,0.02766158195196101,1,1.120604523515959,0.06721522516271357
162,wind_speed+AirTC_Avg+Temp+VWC+Sedge+Shrub,0.18581088117050598,6,17,0.035034680655226795,1,0.10997058407036006,-0.9349108543310448
163,wind_speed+AirTC_Avg+Temp+VWC+Sedge+Grass,0.19089631069923002,6,18,0.03247193282036929,1,0.7225791814338347,-0.2972366176149992
164,wind_speed+AirTC_Avg+VWC+Sedge+Shrub+Grass,0.2009955777340632,6,19,0.034261173319116135,0,1.877645295876255,1.0274688424829101
165,wind_speed+AirTC_Avg+VWC+Sedge+Shrub+Upland,0.20052356574285038,6,20,0.042972252963158764,1,1.5965254777014233,0.8223620654027799
166,wind_speed+AirTC_Avg+VWC+Sedge+Grass+Upland,0.1998016486265063,6,21,0.032169349589233044,0,1.7959560828444237,0.9084404035008071
167,wind_speed+VPD+Temp+VWC+Sedge+Shrub,0.18485414437286346,6,22,0.03229917301533537,1,0.0,-1.1153985495985748
168,wind_speed+VPD+Temp+VWC+Sedge+Grass,0.18704719306297032,6,23,0.038834366015670745,1,0.23780684117369316,-0.7227661426257073
169,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.19587293644492848,6,24,0.041224794233667296,1,1.1524016190180482,0.31674958244500084
170,wind_speed+Temp+VWC+Sedge+Shrub+Upland,0.19831626907332686,6,25,0.037375851466803535,1,1.4926649646135108,0.639630772947495
171,wind_speed+Temp+VWC+Sedge+Grass+Upland,0.19904237673880817,6,26,0.03489807773295607,1,1.6342851832071472,0.7638011549329341
