,Model,MSE,Size,Number,SE,Performance
102,H+Wind Spd+PPFD+Ts 15 cm Cent+Active Layer+VPD,0.003811736894476507,6,7,0.0003693691288598664,1
103,H+Wind Spd+PPFD+Ts 2.5 cm Rim+Active Layer+VPD,0.0038495007383405476,6,8,0.00027123113749324946,1
104,H+Wind Spd+PPFD+Ts 5 cm Rim+Active Layer+VPD,0.003966658646721567,6,9,0.00039356594113901906,0
105,H+Wind Spd+PPFD+Ts 15 cm Rim+Active Layer+VPD,0.003896488706943066,6,10,0.00027381045028510053,0
106,H+Wind Spd+PPFD+Ts All Cent+Active Layer+VPD,0.0037784817733881445,6,11,0.00021580169692793575,1
107,H+Wind Spd+PPFD+Ts All Rim+Active Layer+VPD,0.003916305292303887,6,12,0.0003389912602857556,0
108,H+Wind Spd+PPFD+VWC+Active Layer+VPD,0.003728052713219335,6,13,0.000357436471132033,1
109,H+Wind Spd+PPFD+Active Layer+24H Rain+VPD,0.003991776813975911,6,14,0.00028209943326495333,0
110,H+Wind Spd+PPFD+Active Layer+VPD+u*,0.0035577623664023433,6,15,0.00032757772873563684,2
111,H+LE+Wind Spd+PPFD+Active Layer+VPD+u*,0.0034646712965774686,7,0,0.0003236090635683133,1
112,H+Wind Spd+air pressure+PPFD+Active Layer+VPD+u*,0.0035713752696761225,7,1,0.00033496567229228575,1
113,H+Wind Spd+Ta+PPFD+Active Layer+VPD+u*,0.0034991814644602243,7,2,0.00036049369004438386,1
114,H+Wind Spd+Rn+PPFD+Active Layer+VPD+u*,0.003516537153230536,7,3,0.0003189774074086383,1
115,H+Wind Spd+PPFD+Water Table+Active Layer+VPD+u*,0.0033583289489239926,7,4,0.00025045670567381835,1
116,H+Wind Spd+PPFD+Ts 2.5 cm Cent+Active Layer+VPD+u*,0.0034969406438260728,7,5,0.000302340818708146,1
117,H+Wind Spd+PPFD+Ts 5 cm Cent+Active Layer+VPD+u*,0.003439602212985408,7,6,0.00029575383745687544,1
118,H+Wind Spd+PPFD+Ts 15 cm Cent+Active Layer+VPD+u*,0.0034658276464544385,7,7,0.0002715293846369596,1
