datetime,H,LE,fco2,fch4,Wind Spd,air pressure,Ta,Rn,PPFD,Water Table,Ts 2.5 cm Cent,Ts 5 cm Cent,Ts 15 cm Cent,Ts 2.5 cm Rim,Ts 5 cm Rim,Ts 15 cm Rim,Ts All Cent,Ts All Rim,VWC,Active Layer,24H Rain,Dir,ER,Time,DOY,VPD,u*
2017-06-29 14:00:00,248.03081537687692,79.79924529637799,-1.3877635207332955,0.05403147168198129,6.591480329354215,101549.84027777778,13.5,545.6,1332.0,-0.135,3.2,12.26,3.579,7.68,-0.6459999999999999,-0.247,0.30768,1.00056,49.91940688493538,0.2494642857142857,3.608224830031759e-16,101.68241690982858,,14,180,470.64415551602326,0.5433823376890791
2017-06-29 14:30:00,232.45837557854227,78.87984875532743,-1.071797326521788,0.05503304594158067,6.681761053517594,101538.99944444445,13.89,565.0,1365.0,-0.1355,3.448,12.81,3.91,8.51,-0.664,-0.198,0.32896000000000003,1.04064,49.91089853112678,0.24955069124423965,3.608224830031759e-16,97.2649189563901,,14,180,511.34840877720046,0.5479625325033393
2017-06-29 15:00:00,209.97715870604563,68.75511636826427,-0.94083375599342,0.05072527240089181,6.732477498346218,101539.68833333334,14.59,575.5,1386.0,-0.13599999999999998,3.696,12.88,4.228,9.09,-0.674,-0.316,0.3496,1.0556800000000002,49.9023869626324,0.2496370967741936,3.608224830031759e-16,96.12486711836698,,15,180,602.5892737739953,0.5266650629386361
2017-06-29 15:30:00,240.9156162166762,,-1.2086852023865018,0.05873110409625135,6.5973672931311365,101541.82949074074,15.3,577.6,1394.0,-0.13599999999999998,3.989,13.13,4.556,9.64,-0.626,-0.355,0.36920000000000003,1.0788000000000002,49.88819383714466,0.2497235023041475,3.608224830031759e-16,98.04912039803536,,15,180,681.3992751014102,0.5552686851861841
2017-06-29 16:00:00,,,-0.6679224897908763,0.051834045001023406,6.9775951487859285,101540.63,15.65,573.5,1386.0,-0.13599999999999998,4.367,13.37,4.98,10.1,-0.46,-0.261,0.38616,1.09048,49.87399168844926,0.2498099078341014,3.608224830031759e-16,96.03726554195225,,16,180,728.835565112,0.5388446276258507
2017-06-29 16:30:00,232.48200058227798,,-1.3869549785385493,0.05462399926601131,6.820584596182052,101533.51833333333,16.11,560.2,1365.0,-0.1365,4.775,13.37,5.425,10.29,-0.238,-0.094,0.40104,1.0771199999999999,49.86262343336941,0.2498963133640553,3.608224830031759e-16,98.98455126960675,,16,180,782.6492858831177,0.5910702863706377
2017-06-29 17:00:00,200.04365707739643,,-0.9148874007257068,0.04927497837786679,6.984494597774997,101521.02583333333,16.38,542.1,1330.0,-0.13699999999999998,5.1560000000000015,13.3,5.832000000000002,10.55,-0.009000000000000001,-0.028,0.4132000000000001,1.06624,49.851249335787955,0.2499827188940092,3.608224830031759e-16,98.49979332528392,,17,180,829.7708046801262,0.5713122865986549
2017-06-29 17:30:00,210.69138821952782,,-1.011912092700149,0.04911832127560404,6.603896209957861,101507.71416666667,16.74,520.3,1284.0,-0.13699999999999998,5.401,13.18,6.12,10.76,0.125,-0.038,0.42208,1.05744,49.83702345181428,0.2500691244239631,3.608224830031759e-16,101.13750066562078,,17,180,837.7685581599198,0.5644963355957748
2017-06-29 18:00:00,182.13113437854614,,-0.8310460284232114,0.0483598375809776,6.951717793249726,101503.46777777778,16.6,488.7,1225.0,-0.13699999999999998,5.729,13.1,6.471,10.91,0.3670000000000001,0.158,0.42896,1.03536,49.82278833268792,0.25015552995391704,3.608224830031759e-16,97.91321738926709,,18,180,796.6100954341598,0.5557125642539459
2017-06-29 18:30:00,187.35605648067363,84.25536919944157,-0.978753273604938,0.04970212073473682,6.747695733858684,101491.46138888889,16.68,456.1,1155.0,-0.13699999999999998,6.0939999999999985,12.84,6.835,10.88,0.6759999999999999,0.304,0.4334399999999999,1.00288,49.817091685927494,0.25024193548387097,3.608224830031759e-16,95.38756945224706,,18,180,804.732753391085,0.5587450274784402
