,Key,Level,MAE,Model,R2
1815,6_5,6,0.2974134784945784,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.2929077971123978
1816,6_5,6,0.28323459911473486,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.2080968416077149
1817,6_5,6,0.29916090832517,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.04987735933934101
1818,6_5,6,0.32303267626822524,wind_speed+Temp+VWC+Sedge+Shrub+Grass,-0.04970241335079306
1819,6_5,6,0.2981811592078625,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.1880732030423743
1820,6_5,6,0.3128977420963884,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.1599047099339732
1821,6_5,6,0.3015290908878946,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.11772839056066542
1822,6_5,6,0.2835922134062936,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.3727356322703802
1823,6_5,6,0.28028570587907364,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.39336148560379924
1824,6_5,6,0.28863407209681746,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.29801633527587645
1825,6_5,6,0.2891405677730212,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.24098572597777934
1826,6_5,6,0.2957131470909149,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.2655536381592454
1827,6_5,6,0.28972925227184365,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.27016793488994606
1828,6_5,6,0.2891028522272245,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.3138061642151341
1829,6_5,6,0.27688918054606676,wind_speed+Temp+VWC+Sedge+Shrub+Grass,0.46881129882780115
1830,6_6,6,0.3098861232727604,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.026822408442464418
1831,6_6,6,0.27668826206284614,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.41129550487689215
1832,6_6,6,0.298337473722741,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.23462781653360087
1833,6_6,6,0.27763670489944636,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.4235756255588159
1834,6_6,6,0.30201201587581694,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.038305571003264816
1835,6_6,6,0.2878104525932383,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.44117549868362027
1836,6_6,6,0.3043538712758064,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.007436969349467026
1837,6_6,6,0.2851855440274093,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.36708161835395925
1838,6_6,6,0.30588572227235983,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.06424303914687102
1839,6_6,6,0.31102543471476674,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.007308441040455138
1840,6_6,6,0.30559681960542356,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.11730749166424848
1841,6_6,6,0.2885245474315522,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.3207297718997185
1842,6_6,6,0.30049960412801535,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.21486728152440226
1843,6_6,6,0.290039405221901,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.29554832685715415
1844,6_6,6,0.28276563122364773,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.1917072286889281
1845,6_6,6,0.28701086181456587,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.36911781717983505
1846,6_6,6,0.2849484782254219,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.31444612987484677
1847,6_6,6,0.3046695386483619,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.10317745583027527
1848,6_6,6,0.30402783168805597,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.10170000296622017
1849,6_6,6,0.3077303062615101,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.054857735445488776
1850,6_6,6,0.2992438005453362,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.19912953937993827
1851,6_6,6,0.3031696536333735,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.26685269093722386
1852,6_6,6,0.2940177773643307,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.29423305757744345
1853,6_6,6,0.2819336446115919,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.428140177298026
1854,6_6,6,0.2999442498683025,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.1060684595760456
1855,6_6,6,0.29505844497682726,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.23646097545745004
1856,6_6,6,0.30132316296795114,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.2886127430741011
1857,6_6,6,0.29552534024161065,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.16439317133962572
1858,6_6,6,0.28238798457528247,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.46057191944137277
1859,6_6,6,0.28748738490992626,wind_speed+Temp+VWC+Sedge+Grass+Sparse,0.31406408853802326
1860,6_7,6,0.30039245133858866,wind_speed+Temp+VWC+Sedge+Grass+Out_of_Basin,0.25767885136309365
1861,6_7,6,0.296053958195561,wind_speed+Temp+VWC+Sedge+Grass+Out_of_Basin,0.2515781868417345
1862,6_7,6,0.2976942065854741,wind_speed+Temp+VWC+Sedge+Grass+Out_of_Basin,0.26854938673988493
1863,6_7,6,0.27507918552303634,wind_speed+Temp+VWC+Sedge+Grass+Out_of_Basin,0.5040846767520907
