,Model,MSE,Size,Number,HiddenNodes,SE,r2,Performance,Thresh
75,PPFD_Avg+AirTC_Avg+VWC+Sedge+Grass,0.21630963747054047,5,4,8,0.08027151753840438,0.6021289445173144,1,0.29658115500894483
76,PPFD_Avg+AirTC_Avg+VWC+Sedge+Out_of_Basin,0.2167188059369447,5,5,8,0.08291928314725652,0.6013763368595966,1,0.2996380890842012
77,PPFD_Avg+AirTC_Avg+VWC+Sedge+Upland,0.2181642943577535,5,6,8,0.08429350050155833,0.5987175648769865,1,0.30245779485931185
78,PPFD_Avg+AirTC_Avg+VPD+wind_speed+VWC+Sedge,0.23071295404513925,6,0,7,0.15709676075677986,0.5756360760765018,0,0.3878097148019191
79,PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge,0.2552298595607476,6,1,7,0.14295620054040725,0.5305406878694328,0,0.39818606010115487
80,PPFD_Avg+AirTC_Avg+VPD+VWC+Sedge+Shrub,0.2474510646061488,6,2,7,0.13151090355147865,0.5448486835517385,0,0.37896196815762745
81,PPFD_Avg+AirTC_Avg+VPD+VWC+Sedge+Grass,0.2303888473721937,6,3,7,0.09425803794107471,0.576232224567904,0,0.3246468853132684
82,PPFD_Avg+AirTC_Avg+VPD+VWC+Sedge+Out_of_Basin,0.24791838249303938,6,4,7,0.12374329684204917,0.5439891182402835,0,0.37166167933508854
83,PPFD_Avg+AirTC_Avg+VPD+VWC+Sedge+Upland,0.24332222082075416,6,5,7,0.13158994434224142,0.5524431090892591,0,0.3749121651629956
84,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge,0.22063770757569193,6,6,7,0.14246548390705246,0.5941680702766823,0,0.3631031914827444
85,PPFD_Avg+AirTC_Avg+wind_speed+VWC+Sedge+Shrub,0.20316109999759563,6,7,7,0.11751826732430973,0.626313823857823,1,0.3206793673219054
86,PPFD_Avg+AirTC_Avg+wind_speed+VWC+Sedge+Grass,0.2095977786259325,6,8,7,0.1287909977009319,0.6144744617766581,0,0.33838877632686437
87,PPFD_Avg+AirTC_Avg+wind_speed+VWC+Sedge+Out_of_Basin,0.22173085332443163,6,9,7,0.14230125597940332,0.592157382921586,0,0.36403210930383495
88,PPFD_Avg+AirTC_Avg+wind_speed+VWC+Sedge+Upland,0.22093435551561721,6,10,7,0.13561420101463553,0.5936224282500716,0,0.35654855653025275
89,PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Shrub,0.23016591170448578,6,11,7,0.1086435334218749,0.5766422832710341,0,0.3388094451263607
90,PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Grass,0.23089077331340577,6,12,7,0.09889851627909313,0.5753090026239378,0,0.32978928959249887
91,PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Out_of_Basin,0.2342854683024915,6,13,7,0.1286344896701359,0.569064940204235,0,0.36291995797262744
92,PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Upland,0.23135586478164735,6,14,7,0.1262924863081909,0.5744535324954259,0,0.3576483510898383
93,PPFD_Avg+AirTC_Avg+VWC+Sedge+Shrub+Grass,0.22629112572802781,6,15,7,0.0914749874814893,0.5837694053181632,0,0.3177661132095171
94,PPFD_Avg+AirTC_Avg+VWC+Sedge+Shrub+Out_of_Basin,0.23046174107774145,6,16,7,0.10217103963060216,0.5760981468823072,0,0.3326327807083436
95,PPFD_Avg+AirTC_Avg+VWC+Sedge+Shrub+Upland,0.23294184119178274,6,17,7,0.0975135138856192,0.5715363526801847,0,0.3304553550774019
96,PPFD_Avg+AirTC_Avg+VWC+Sedge+Grass+Out_of_Basin,0.21332392737583894,6,18,7,0.09333034527115219,0.6076207369341269,0,0.30665427264699113
97,PPFD_Avg+AirTC_Avg+VWC+Sedge+Grass+Upland,0.22441896016776589,6,19,7,0.09526626274855772,0.5872129896919811,0,0.3196852229163236
98,PPFD_Avg+AirTC_Avg+VWC+Sedge+Out_of_Basin+Upland,0.22587599741413472,6,20,7,0.0844429974784136,0.5845329752743651,0,0.3103189948925483
99,PPFD_Avg+AirTC_Avg+VPD+wind_speed+VWC+Sedge+Shrub,0.2531886365701188,7,0,6,0.137227196515644,0.5342952295313483,0,0.3904158330857628
100,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub,0.21551079150684657,7,1,6,0.12443292099760728,0.6035983089453614,0,0.3399437125044539
101,PPFD_Avg+AirTC_Avg+wind_speed+VWC+Sedge+Shrub+Grass,0.21340782911966236,7,2,6,0.10254285000788774,0.6074664115154251,0,0.3159506791275501
102,PPFD_Avg+AirTC_Avg+wind_speed+VWC+Sedge+Shrub+Out_of_Basin,0.21389492145258432,7,3,6,0.11475897836927323,0.6065704739007935,0,0.32865389982185755
103,PPFD_Avg+AirTC_Avg+wind_speed+VWC+Sedge+Shrub+Upland,0.21037978482364936,7,4,6,0.10733366153689192,0.6130360717219294,0,0.3177134463605413
