,Unnamed: 0,MSE,Model,Number,Performance,SE,Size
138,138,0.026372860890184157,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Sedge+Sparse+Out_of_Basin,8,0,0.0006281488977606867,9
139,139,0.02567261874671636,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub+Grass+Out_of_Basin,9,0,0.0005565650142320838,9
140,140,0.025861653751836564,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub+Sparse+Out_of_Basin,10,0,0.0005225710057019847,9
141,141,0.025937069068117474,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Grass+Sparse+Out_of_Basin,11,0,0.0005777521626373087,9
142,142,0.025670790661339524,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass,0,0,0.0006311490250046728,10
143,143,0.025564905470161003,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Sparse,1,1,0.0006071695039464593,10
144,144,0.02577984332372396,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Out_of_Basin,2,0,0.0007381154881615367,10
145,145,0.025761637848289595,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Grass+Out_of_Basin,3,0,0.0006985519827328476,10
146,146,0.02601521571270549,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Sparse+Out_of_Basin,4,0,0.000717037023333546,10
147,147,0.025320737953593048,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Grass+Sparse,5,1,0.0006289746653889364,10
148,148,0.025451499796873837,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Grass+Out_of_Basin,6,1,0.0006208691366956418,10
149,149,0.025003855011989085,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Sparse+Out_of_Basin,7,2,0.0006026818786813647,10
150,150,0.02579943185599971,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Grass+Sparse+Out_of_Basin,8,0,0.000725026642178305,10
151,151,0.025925730185514074,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Sparse,0,1,0.000670390045228935,11
152,152,0.026058647588498053,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Out_of_Basin,1,1,0.0005829502761567644,11
153,153,0.02577049822205838,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Sparse+Out_of_Basin,2,1,0.0006173060254584347,11
154,154,0.02556424091739513,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Grass+Sparse+Out_of_Basin,3,1,0.0005860656236655275,11
155,155,0.025947897862382267,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Sparse+Out_of_Basin,0,1,0.0006433589125555205,12
