,MSE,Model,Number,Performance,SE,Size,T,T2
0,0.2829386108769949,wind_speed,0,0,0.013844500890197595,1,,
1,0.2819401178818244,air_pressure,1,0,0.016618712732426013,1,,
2,0.04153436084115412,PPFD_Avg,2,1,0.003934365291105436,1,,
3,0.2391015955797829,AirTC_Avg,3,0,0.015436738270561181,1,,
4,0.20901619423146972,VPD,4,0,0.01786004700607801,1,,
5,0.25128873224902204,Temp,5,0,0.01418279666148096,1,,
6,0.28544932522357896,VWC,6,0,0.014809678280911778,1,,
7,0.2772382221838971,Sedge,7,0,0.01657733654142733,1,,
8,0.2834141999522328,Shrub,8,0,0.017196735333585133,1,,
9,0.2850651914096079,Grass,9,0,0.016627004426882988,1,,
10,0.28108177738891305,Sparse,10,0,0.01375766573454629,1,,
11,0.2693133778101923,Out_of_Basin,11,0,0.017114990992109502,1,,
12,0.03844485458021262,wind_speed+PPFD_Avg,0,1,0.0029251693703749963,2,,
13,0.036926428120395316,air_pressure+PPFD_Avg,1,1,0.003962241832293209,2,,
14,0.03916229433822676,PPFD_Avg+AirTC_Avg,2,1,0.0039671982592354,2,,
15,0.03720640501954664,PPFD_Avg+VPD,3,1,0.0032300527641409,2,,
16,0.040360470130621225,PPFD_Avg+Temp,4,1,0.003696332428746528,2,,
17,0.03851864622968116,PPFD_Avg+VWC,5,1,0.0035872677877766845,2,,
18,0.040116294536676415,PPFD_Avg+Sedge,6,1,0.003381178602401239,2,,
19,0.039942600833436766,PPFD_Avg+Shrub,7,1,0.0036804393603639633,2,,
20,0.041464080071648673,PPFD_Avg+Grass,8,0,0.003681662622916931,2,,
21,0.040916622924216266,PPFD_Avg+Sparse,9,0,0.004572299422261164,2,,
22,0.03876180081861737,PPFD_Avg+Out_of_Basin,10,1,0.003387043439091873,2,,
23,0.03359113881814565,wind_speed+air_pressure+PPFD_Avg,0,0,0.0036246266836363647,3,,
24,0.03470739042004603,wind_speed+PPFD_Avg+AirTC_Avg,1,0,0.004100557861073154,3,,
25,0.03374759807903493,wind_speed+PPFD_Avg+VPD,2,0,0.0037137354021202986,3,,
26,0.03606095772453479,wind_speed+PPFD_Avg+Temp,3,0,0.004630054321536349,3,,
27,0.0335100975137342,wind_speed+PPFD_Avg+VWC,4,0,0.004998954412507185,3,,
28,0.03485297645261295,wind_speed+PPFD_Avg+Sedge,5,0,0.003041053566813108,3,,
29,0.03675301497994525,wind_speed+PPFD_Avg+Shrub,6,0,0.0033246181894024808,3,,
